year,month,fuel_family,n_rows,avg_vnd_price
2023,1,Kerosene,8,22543.75
2023,1,Other,4,22322.5
2023,1,RON95+,20,22889
2023,2,Diesel,10,21768
2023,2,E5,6,22850
2023,2,Kerosene,4,21425
2023,2,Other,2,21215
2023,2,RON95+,10,24154
2023,3,Diesel,15,20654.666666666668
2023,3,E5,9,22561.11111111111
2023,3,Kerosene,6,20411.666666666668
2023,3,Other,3,20213.333333333332
2023,3,RON95+,15,23944.666666666668
2023,4,Diesel,15,20363.333333333332
2023,4,E5,9,22793.333333333332
2023,4,Kerosene,6,19605
2023,4,Other,3,19413.333333333332
2023,4,RON95+,15,24219.333333333332
2023,5,Diesel,15,18516
2023,5,E5,9,20815.555555555555
2023,5,Kerosene,6,18328.333333333332
2023,5,Other,3,18150
2023,5,RON95+,15,22105.333333333332
2023,6,Diesel,15,18484.666666666668
2023,6,E5,9,21006.666666666668
2023,6,Kerosene,6,18021.666666666668
2023,6,Other,3,17846.666666666668
2023,6,RON95+,15,22526.666666666668
2023,7,Diesel,15,19209.333333333332
2023,7,E5,9,20973.333333333332
2023,7,Kerosene,6,18655
2023,7,Other,3,18473.333333333332
2023,7,RON95+,15,22352.666666666668
2023,8,Diesel,15,22268
2023,8,E5,9,23131.11111111111
2023,8,Kerosene,6,21695
2023,8,Other,3,21483.333333333332
2023,8,RON95+,15,24571.333333333332
2023,9,Diesel,15,23579.333333333332
2023,9,E5,9,23865.555555555555
2023,9,Kerosene,6,23496.666666666668
2023,9,Other,3,23266.666666666668
2023,9,RON95+,15,25559.333333333332
2023,10,Diesel,10,23569
2023,10,E5,6,22850
2023,10,Kerosene,4,23362.5
2023,10,Other,2,23135
2023,10,RON95+,10,24366
2023,11,Diesel,20,21518.5
2023,11,E5,12,22235.833333333332
2023,11,Kerosene,8,21677.5
2023,11,Other,4,21465
2023,11,RON95+,20,23824
2023,12,Diesel,20,20100.5
2023,12,E5,12,21181.666666666668
2023,12,Kerosene,8,20655
2023,12,Other,4,20455
2023,12,RON95+,20,22413.5
2024,1,Diesel,20,20458
2024,1,E5,12,21546.666666666668
2024,1,Kerosene,8,20538.75
2024,1,Other,4,20337.5
2024,1,RON95+,20,22902.5
2024,2,Diesel,25,21509.2
2024,2,E5,15,22839.333333333332
2024,2,Kerosene,10,21090
2024,2,Other,5,20884
2024,2,RON95+,25,24207.2
2024,3,Diesel,20,21132
2024,3,E5,12,23109.166666666668
2024,3,Kerosene,8,21063.75
2024,3,Other,4,20857.5
2024,3,RON95+,20,24411.5
2024,4,Diesel,20,21601
2024,4,E5,12,24127.5
2024,4,Kerosene,8,21382.5
2024,4,Other,4,21172.5
2024,4,RON95+,20,25339
2024,5,Diesel,25,20384.8
2024,5,E5,15,22680.666666666668
2024,5,Kerosene,10,20191
2024,5,Other,6,19583.333333333332
2024,5,RON95+,25,23858.8
2024,6,Diesel,20,20441
2024,6,E5,12,21632.5
2024,6,Kerosene,8,20288.75
2024,6,Other,4,20090
2024,6,RON95+,20,22792.5
2024,7,Diesel,20,20945.5
2024,7,E5,12,22348.333333333332
2024,7,Kerosene,8,21011.25
2024,7,Other,4,20805
2024,7,RON95+,20,23608
2024,8,Diesel,25,19356.8
2024,8,E5,15,20926.666666666668
2024,8,Kerosene,10,19647
2024,8,Other,5,19400
2024,8,RON95+,25,22104
2024,9,Diesel,21,17752.85714285714
2024,9,E5,12,19481.666666666668
2024,9,Kerosene,8,18160
2024,9,Other,4,17982.5
2024,9,RON95+,20,20562
2024,10,Diesel,30,18356.666666666668
2024,10,E5,15,19630
2024,10,Kerosene,10,18675
2024,10,Other,5,18464
2024,10,RON95+,25,21018.4
2024,11,Diesel,24,18925.416666666668
2024,11,E5,12,19720.833333333332
2024,11,Kerosene,8,19270
2024,11,Other,4,19082.5
2024,11,RON95+,20,21091
2024,12,Diesel,24,18715.416666666668
2024,12,E5,12,20073.333333333332
2024,12,Kerosene,8,18942.5
2024,12,Other,4,18757.5
2024,12,RON95+,20,21045.5
2025,1,Diesel,24,19761.25
2025,1,E5,12,20590
2025,1,Kerosene,8,19662.5
2025,1,Other,4,19470
2025,1,RON95+,20,21414.5
2025,2,Diesel,30,19386.666666666668
2025,2,E5,15,20719.333333333332
2025,2,Kerosene,10,19621
2025,2,Other,5,19430
2025,2,RON95+,25,21486.8
2025,3,Diesel,24,18441.666666666668
2025,3,E5,12,19870
2025,3,Kerosene,8,18505
2025,3,Other,4,18322.5
2025,3,RON95+,20,20466.5
2025,4,Diesel,24,17971.25
2025,4,E5,12,19368.333333333332
2025,4,Kerosene,8,17932.5
2025,4,Other,4,17757.5
2025,4,RON95+,20,19992.5
2025,5,Diesel,30,17552
2025,5,E5,15,19208
2025,5,Kerosene,10,17396
2025,5,Other,5,17226
2025,5,RON95+,25,19848
2025,6,Diesel,24,18785
2025,6,E5,12,20196.666666666668
2025,6,Kerosene,8,18460
2025,6,Other,4,18280
2025,6,RON95+,20,20948
2025,7,Diesel,36,19173.61111111111
2025,7,E10,5,19710
2025,7,E5,18,19757.222222222223
2025,7,Kerosene,12,18735
2025,7,Other,6,18551.666666666668
2025,7,RON95+,30,20398.333333333332
2025,8,Diesel,24,18628.333333333332
2025,8,E10,12,19983.333333333332
2025,8,E5,12,19673.333333333332
2025,8,Kerosene,8,18357.5
2025,8,Other,4,18177.5
2025,8,RON95+,20,20451
2025,9,Diesel,24,18974.583333333332
2025,9,E10,12,20172.5
2025,9,E5,12,19927.5
2025,9,Kerosene,8,18640
2025,9,Other,4,18457.5
2025,9,RON95+,20,20758.5
2025,10,Diesel,30,18985.333333333332
2025,10,E10,15,19864
2025,10,E5,15,19484
2025,10,Kerosene,10,18826
2025,10,Other,5,18642
2025,10,RON95+,25,20363.6
2025,11,Diesel,24,20000.416666666668
2025,11,E10,12,20212.5
2025,11,E5,12,19880
2025,11,Kerosene,8,20136.25
2025,11,Other,4,19767.5
2025,11,RON95+,20,20861
2025,12,Diesel,30,18049.666666666668
2025,12,E10,15,19537.333333333332
2025,12,E5,15,19286
2025,12,Kerosene,10,18349
2025,12,Other,5,18170
2025,12,RON95+,25,20008
2026,1,Diesel,24,17945
2026,1,E10,12,18692.5
2026,1,E5,12,18422.5
2026,1,Kerosene,8,18016.25
2026,1,Other,4,17840
2026,1,RON95+,20,19146
2026,2,Diesel,24,18967.5
2026,2,E10,12,19258.333333333332
2026,2,E5,12,18976.666666666668
2026,2,Kerosene,8,18927.5
2026,2,Other,4,18742.5
2026,2,RON95+,20,19833.5
2026,3,Diesel,48,31967.708333333332
2026,3,E10,24,26071.25
2026,3,E5,24,25263.333333333332
2026,3,Kerosene,16,32964.375
2026,3,Other,2,30845
2026,3,RON95+,40,27773.75
2026,4,Diesel,30,39035.333333333336
2026,4,E10,15,24652
2026,4,E5,15,23944.666666666668
2026,4,Kerosene,10,41372
2026,4,RON95+,25,25646.8
2026,5,E10,2,24875
