company,country,product,region,effective_datetime,price_local_per_litre,currency,unit,delta_local_per_litre,source_name,source_url,extraction_method
Petrolimex,Vietnam,Xăng sinh học E10 RON 95-V,Vùng 1,2026-05-12T17:00:00Z,24630,VND,VND/litre,NA,Petrolimex official E10 RON95-V announcement,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-thong-bao-gia-ban-le-xang-sinh-hoc-e10-ron-95-v-tu-24-gio-00-phut-ngay-12-5-2026.html,official_html_download_with_price_from_official_image
Petrolimex,Vietnam,Xăng sinh học E10 RON 95-V,Vùng 2,2026-05-12T17:00:00Z,25120,VND,VND/litre,NA,Petrolimex official E10 RON95-V announcement,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-thong-bao-gia-ban-le-xang-sinh-hoc-e10-ron-95-v-tu-24-gio-00-phut-ngay-12-5-2026.html,official_html_download_with_price_from_official_image
