row_id,company,country,product,product_normalized,fuel_family,region,effective_datetime,year,month,day,price_local_per_litre,currency,unit,delta_local_per_litre,has_delta,is_e10,is_e5,is_diesel,price_band,source_name,source_url,extraction_method
20,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-08-10T00:00:00Z,2017,8,10,2.06,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
21,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-08-17T00:00:00Z,2017,8,17,2.04,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
22,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-08-24T00:00:00Z,2017,8,24,2.01,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
23,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-08-31T00:00:00Z,2017,8,31,2.04,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
24,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-09-07T00:00:00Z,2017,9,7,2.05,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
25,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-09-14T00:00:00Z,2017,9,14,2.14,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
26,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-09-21T00:00:00Z,2017,9,21,2.1,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
27,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-09-28T00:00:00Z,2017,9,28,2.12,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
28,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-10-05T00:00:00Z,2017,10,5,2.17,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
29,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-10-12T00:00:00Z,2017,10,12,2.1,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
30,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-10-19T00:00:00Z,2017,10,19,2.11,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
31,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-10-26T00:00:00Z,2017,10,26,2.13,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
32,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-11-02T00:00:00Z,2017,11,2,2.17,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
33,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-11-09T00:00:00Z,2017,11,9,2.2,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
34,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-11-16T00:00:00Z,2017,11,16,2.25,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
35,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-11-23T00:00:00Z,2017,11,23,2.23,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
36,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-11-30T00:00:00Z,2017,11,30,2.25,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
37,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-12-07T00:00:00Z,2017,12,7,2.21,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
38,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-12-14T00:00:00Z,2017,12,14,2.2,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
39,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-12-21T00:00:00Z,2017,12,21,2.23,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
40,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2017-12-28T00:00:00Z,2017,12,28,2.26,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
41,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-01-04T00:00:00Z,2018,1,4,2.32,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
42,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-01-11T00:00:00Z,2018,1,11,2.32,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
43,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-01-18T00:00:00Z,2018,1,18,2.32,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
44,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-01-25T00:00:00Z,2018,1,25,2.31,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
45,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-02-01T00:00:00Z,2018,2,1,2.34,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
46,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-02-08T00:00:00Z,2018,2,8,2.31,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
47,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-02-15T00:00:00Z,2018,2,15,2.19,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
48,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-02-22T00:00:00Z,2018,2,22,2.13,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
49,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-03-01T00:00:00Z,2018,3,1,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
50,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-03-08T00:00:00Z,2018,3,8,2.17,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
51,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-03-15T00:00:00Z,2018,3,15,2.16,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
52,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-03-22T00:00:00Z,2018,3,22,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
53,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-03-29T00:00:00Z,2018,3,29,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
54,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-04-05T00:00:00Z,2018,4,5,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
55,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-04-12T00:00:00Z,2018,4,12,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
56,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-04-19T00:00:00Z,2018,4,19,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
57,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-04-26T00:00:00Z,2018,4,26,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
58,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-05-03T00:00:00Z,2018,5,3,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
59,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-05-10T00:00:00Z,2018,5,10,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
60,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-06-07T00:00:00Z,2018,6,7,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
61,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-06-14T00:00:00Z,2018,6,14,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
62,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-06-21T00:00:00Z,2018,6,21,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
63,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-06-28T00:00:00Z,2018,6,28,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
64,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-07-05T00:00:00Z,2018,7,5,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
65,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-07-12T00:00:00Z,2018,7,12,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
66,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-07-19T00:00:00Z,2018,7,19,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
67,Government of Malaysia,Malaysia,Diesel East Malaysia,diesel east malaysia,Diesel,East Malaysia,2018-07-26T00:00:00Z,2018,7,26,2.18,MYR,MYR/litre,NA,FALSE,FALSE,FALSE,TRUE,international,Malaysia Open Data fuel prices,https://storage.data.gov.my/commodities/fuelprice.csv,public_csv_download
